Parent;ItemNumber;Item Code;Item Name;Color Code;Color Name;Has Grain;Length;Width;Thickness;Quantity;Material Quantity;Units;CoverSide;Item Type;Material Type;Material Code;Color Code
;1;Enima_N2idisteruumi_kardinad;;;;;;;;1;;;;Assembly;;;
1;2;Enima_N2idisteruumi_Kardinapuu_4000;;;;;;;;2;;;;Assembly;;;
2;3;ylemine_sektor_4000;;;;True;1531;245;15;8;;;;Part;;;
3;4;ylemine_sektor_4000 WP 1;WP of ;;;True;1551;265;15;0,41;0,41;m²;;Fill Workpiece;Board;VIN_KASK_CP/CP;
3;6;ylemine_sektor_4000 WP 2;WP of ;;;False;;;0;0;0,356;m²;Left, Back, Right, Front, Top, Bottom, Inward;Cover Workpiece;Paint;värv;IN_MUST
2;20;alumine_sektor_4000;;;;True;1531;245;15;8;;;;Part;;;
20;21;alumine_sektor_4000 WP 1;WP of ;;;True;1531;245;15;0,374;0,374;m²;;Fill Workpiece;Board;VIN_KASK_BB/BB;
2;23;riputusvarras_mutritega_M8_1000_4000;;;;;;;;4;;;;Purchased;;;
2;45;kardin_siinidega_4000;;;;;;;;1;;;;Purchased;;;
1;23;Enima_N2idisteruumi_Kardinapuu_3000;;;;;;;;1;;;;Assembly;;;
23;24;ylemine_sektor_3000;;;;True;1148;207;15;8;;;;Part;;;
24;25;ylemine_sektor_3000 WP 1;WP of ;;;True;1147;231;15;0,265;0,265;m²;;Fill Workpiece;Board;VIN_KASK_CP/CP;
24;27;ylemine_sektor_3000 WP 2;WP of ;;;False;;;0;0;0,114;m²;Top;Cover Workpiece;Paint;värv;IN_MUST
23;29;alumine_sektor_3000;;;;True;1148;207;15;8;;;;Part;;;
29;30;alumine_sektor_3000 WP 1;WP of ;;;True;1148;207;15;0,237;0,237;m²;;Fill Workpiece;Board;VIN_KASK_CP/CP;
29;32;alumine_sektor_3000 WP 2;WP of ;;;False;;;0;0;0,264;m²;Left, Back, Right, Front, Top, Bottom;Cover Workpiece;Paint;värv;IN_MUST
23;65;riputusvarras_mutritega_M8_1000_3000;;;;;;;;4;;;;Purchased;;;
23;89;kardin_siinidega_3000;;;;;;;;1;;;;Purchased;;;
